id,question,answer,context
409,Construct a Java program for sorting a given array in ascending order.,"public class ArraySort { 
    public static int[] sortArray(int[] arr) { 
        int n = arr.length; 
        for (int i = 0; i < n - 1; i++) { 
            int min_idx = i; 
            for (int j = i + 1; j < n; j++) 
                if (arr[j] < arr[min_idx]) 
                    min_idx = j; 
            int temp = arr[min_idx]; 
            arr[min_idx] = arr[i]; 
            arr[i] = temp; 
        } 
        return arr; 
    } 
}","### Instruction: 
 Construct a Java program for sorting a given array in ascending order. 
 ### Response:
 public class ArraySort { 
    public static int[] sortArray(int[] arr) { 
        int n = arr.length; 
        for (int i = 0; i < n - 1; i++) { 
            int min_idx = i; 
            for (int j = i + 1; j < n; j++) 
                if (arr[j] < arr[min_idx]) 
                    min_idx = j; 
            int temp = arr[min_idx]; 
            arr[min_idx] = arr[i]; 
            arr[i] = temp; 
        } 
        return arr; 
    } 
}"
442,Implement a Java program for finding the index of an element in a sorted array.,"public int binarySearch(int[] arr, int val){
    int left = 0;
    int right = arr.length - 1;
    while (left <= right) {
        int mid = left + (right - left) /2 ;
        if (arr[mid] == val) 
            return mid;
        else if (arr[mid] < val) 
            left = mid + 1;
        else 
            right = mid - 1;
    }  
    return -1;
}","### Instruction: 
 Implement a Java program for finding the index of an element in a sorted array. 
 ### Response:
 public int binarySearch(int[] arr, int val){
    int left = 0;
    int right = arr.length - 1;
    while (left <= right) {
        int mid = left + (right - left) /2 ;
        if (arr[mid] == val) 
            return mid;
        else if (arr[mid] < val) 
            left = mid + 1;
        else 
            right = mid - 1;
    }  
    return -1;
}"
450,Create a Java program to check for a palindrome.,"public class Palindrome {  
    public static boolean isPalindrome(String str){ 
        // Pointers pointing to the beginning 
        // and the end of the string 
        int i = 0, j = str.length() - 1; 
  
        // While there are characters toc compare 
        while (i < j) { 
  
            // If there is a mismatch 
            if (str.charAt(i) != str.charAt(j)) 
                return false; 
  
            // Increment first pointer and 
            // decrement the other 
            i++; 
            j--; 
        } 
  
        // Given string is a palindrome 
        return true; 
    } 
}","### Instruction: 
 Create a Java program to check for a palindrome. 
 ### Response:
 public class Palindrome {  
    public static boolean isPalindrome(String str){ 
        // Pointers pointing to the beginning 
        // and the end of the string 
        int i = 0, j = str.length() - 1; 
  
        // While there are characters toc compare 
        while (i < j) { 
  
            // If there is a mismatch 
            if (str.charAt(i) != str.charAt(j)) 
                return false; 
  
            // Increment first pointer and 
            // decrement the other 
            i++; 
            j--; 
        } 
  
        // Given string is a palindrome 
        return true; 
    } 
}"
486,"Create a for loop in Java that iterates over the given array and prints the values.
Input: Array: int[] arr = {1, 2, 3, 4, 5};","for (int i = 0; i < arr.length; i++) { 
  System.out.println(arr[i]); 
}","### Instruction: 
 Create a for loop in Java that iterates over the given array and prints the values. 
 ### Input: Array: int[] arr = {1, 2, 3, 4, 5}; 
 ### Response:
 for (int i = 0; i < arr.length; i++) { 
  System.out.println(arr[i]); 
}"
491,Create a program in Java to print out the Fibonacci sequence of numbers up to 10.,"public class Fibonacci {

  public static void main(String[] args) {
    int n1=0,n2=1,n3,i,count=10;
    System.out.print(n1+"" ""+n2);
    
    for(i=2;i<count;++i) {
      n3=n1+n2;
      System.out.print("" ""+n3);
      n1=n2;
      n2=n3;
    }   
  }
}","### Instruction: 
 Create a program in Java to print out the Fibonacci sequence of numbers up to 10. 
 ### Response:
 public class Fibonacci {

  public static void main(String[] args) {
    int n1=0,n2=1,n3,i,count=10;
    System.out.print(n1+"" ""+n2);
    
    for(i=2;i<count;++i) {
      n3=n1+n2;
      System.out.print("" ""+n3);
      n1=n2;
      n2=n3;
    }   
  }
}"
493,Create a function in Java to find the larger of two integers.,"public static int max(int x, int y) {
    if (x > y)
      return x;
    else 
      return y;
}","### Instruction: 
 Create a function in Java to find the larger of two integers. 
 ### Response:
 public static int max(int x, int y) {
    if (x > y)
      return x;
    else 
      return y;
}"
523,Write a Java program that takes two strings as inputs and checks if one string is a rotation of the other.,"import java.util.Arrays;
 
class GFG {
 
    // Function to check if two strings are 
    // rotations of each other or not
    static boolean areRotations(String str1, String str2)
    {
        // There lengths must be same and str2 should 
        // be a substring of str1 concatenated with 
        // str1.
        return (str1.length() == str2.length())
            && ((str1 + str1).indexOf(str2) != -1);
    }
 
    // Driver program 
    public static void main(String[] args) 
    {
        String str1 = ""ABACD"";
        String str2 = ""CDABA"";
 
        if (areRotations(str1, str2))
            System.out.println(""Strings are rotations of each other"");
        else
            System.out.println(""Strings are not rotations of each other"");
    }
}","### Instruction: 
 Write a Java program that takes two strings as inputs and checks if one string is a rotation of the other. 
 ### Response:
 import java.util.Arrays;
 
class GFG {
 
    // Function to check if two strings are 
    // rotations of each other or not
    static boolean areRotations(String str1, String str2)
    {
        // There lengths must be same and str2 should 
        // be a substring of str1 concatenated with 
        // str1.
        return (str1.length() == str2.length())
            && ((str1 + str1).indexOf(str2) != -1);
    }
 
    // Driver program 
    public static void main(String[] args) 
    {
        String str1 = ""ABACD"";
        String str2 = ""CDABA"";
 
        if (areRotations(str1, str2))
            System.out.println(""Strings are rotations of each other"");
        else
            System.out.println(""Strings are not rotations of each other"");
    }
}"
525,"Write a function in Java that takes a string consisting of brackets and output true if the brackets are properly nested, else output false.","public static boolean isBalanced(String str) 
{ 
    if(str.length() == 0) 
        return true; 
      
    Stack<Character> stack  = new Stack<Character>(); 
  
    for(int i = 0; i < str.length(); i++) 
    { 
        char current = str.charAt(i); 
          
        if(current == '{' || current == '(' || current == '[') 
        { 
        stack.push(current); 
        } 
  
        if(current == '}' || current == ')' || current == ']') 
        { 
            if(stack.isEmpty()) 
                return false; 
  
            char last = stack.peek(); 
            if(current == '}' && last == '{' || current == ')' && last == '(' || current == ']' && last == '[') 
                stack.pop(); 
            else 
                return false; 
        }
    } 
 
    return stack.isEmpty(); 
}","### Instruction: 
 Write a function in Java that takes a string consisting of brackets and output true if the brackets are properly nested, else output false. 
 ### Response:
 public static boolean isBalanced(String str) 
{ 
    if(str.length() == 0) 
        return true; 
      
    Stack<Character> stack  = new Stack<Character>(); 
  
    for(int i = 0; i < str.length(); i++) 
    { 
        char current = str.charAt(i); 
          
        if(current == '{' || current == '(' || current == '[') 
        { 
        stack.push(current); 
        } 
  
        if(current == '}' || current == ')' || current == ']') 
        { 
            if(stack.isEmpty()) 
                return false; 
  
            char last = stack.peek(); 
            if(current == '}' && last == '{' || current == ')' && last == '(' || current == ']' && last == '[') 
                stack.pop(); 
            else 
                return false; 
        }
    } 
 
    return stack.isEmpty(); 
}"
527,Create an array in Java with 10 floating-point values and output the average of these values.,"// Create an array 
float arr[] = {1.1, 2.2, 3.3, 4.4, 5.5, 6.6, 7.7, 8.8, 9.9, 10.1};

// Calculate average 
float sum = 0;
for (int i = 0; i < 10; i++) {
    sum += arr[i];
}

float average = sum / 10;
System.out.println(""Average of the array values: "" + average);","### Instruction: 
 Create an array in Java with 10 floating-point values and output the average of these values. 
 ### Response:
 // Create an array 
float arr[] = {1.1, 2.2, 3.3, 4.4, 5.5, 6.6, 7.7, 8.8, 9.9, 10.1};

// Calculate average 
float sum = 0;
for (int i = 0; i < 10; i++) {
    sum += arr[i];
}

float average = sum / 10;
System.out.println(""Average of the array values: "" + average);"
553,"Suppose there is an array of numbers. Write a Java program to sort the array in ascending order.
Input: [3,8,5,1,2,6,4]","public class SortAscending { 
    public static void main(String[] args) 
    {
        int[] numbers = {3,8,5,1,2,6,4};
        int temp = 0;
        for (int i = 0; i < numbers.length; i++) {
            for (int j = i+1; j < numbers.length; j++) {
                if (numbers[i] > numbers[j]) {
                    //swap elements
                    temp = numbers[i]; // assign value of i to temp
                    numbers[i] = numbers[j];  // assign value of j to i
                    numbers[j] = temp;  // assign value of temp to j
                }
            }
        }
        System.out.println(""Array elements in ascending order:"");
        for (int i = 0; i < numbers.length; i++) { 
            System.out.print(numbers[i]+"" ""); 
        } 
    }
}","### Instruction: 
 Suppose there is an array of numbers. Write a Java program to sort the array in ascending order. 
 ### Input: [3,8,5,1,2,6,4] 
 ### Response:
 public class SortAscending { 
    public static void main(String[] args) 
    {
        int[] numbers = {3,8,5,1,2,6,4};
        int temp = 0;
        for (int i = 0; i < numbers.length; i++) {
            for (int j = i+1; j < numbers.length; j++) {
                if (numbers[i] > numbers[j]) {
                    //swap elements
                    temp = numbers[i]; // assign value of i to temp
                    numbers[i] = numbers[j];  // assign value of j to i
                    numbers[j] = temp;  // assign value of temp to j
                }
            }
        }
        System.out.println(""Array elements in ascending order:"");
        for (int i = 0; i < numbers.length; i++) { 
            System.out.print(numbers[i]+"" ""); 
        } 
    }
}"
608,"Write a Java program to print the sum of all integers from 1 to given integer.
Input: integer = 5","public class SumIntegers {
 
    public static void main(String[] args) {
        int n = 5;
        int sum = 0;
        for (int i = 1; i <= n; i++) {
            sum += i;
        }
        System.out.println(""Sum of integers from 1 to ""+n+"": ""+sum);
    }
 
}
// Output: Sum of integers from 1 to 5: 15","### Instruction: 
 Write a Java program to print the sum of all integers from 1 to given integer. 
 ### Input: integer = 5 
 ### Response:
 public class SumIntegers {
 
    public static void main(String[] args) {
        int n = 5;
        int sum = 0;
        for (int i = 1; i <= n; i++) {
            sum += i;
        }
        System.out.println(""Sum of integers from 1 to ""+n+"": ""+sum);
    }
 
}
// Output: Sum of integers from 1 to 5: 15"
647,Write a Java program to find the sum of elements in a 3x3 matrix.,"// Java program to find sum of elements in a matrix 
public class Matrix 
{ 
	public static void main(String[] args) 
	{ 
		// Initialize matrix 
		int[][] matrix = {{1, 2, 3}, 
						{4, 5, 6}, 
						{7, 8, 9}}; 

		// Initialize sum 
		int sum = 0; 

		// Compute sum of elements 
		for (int i = 0; i < 3; i++) 
			for (int j = 0; j < 3; j++) 
				sum = sum + matrix[i][j]; 

		// Print Sum 
		System.out.println(""Sum of elements is: "" + sum); 
	} 
}","### Instruction: 
 Write a Java program to find the sum of elements in a 3x3 matrix. 
 ### Response:
 // Java program to find sum of elements in a matrix 
public class Matrix 
{ 
	public static void main(String[] args) 
	{ 
		// Initialize matrix 
		int[][] matrix = {{1, 2, 3}, 
						{4, 5, 6}, 
						{7, 8, 9}}; 

		// Initialize sum 
		int sum = 0; 

		// Compute sum of elements 
		for (int i = 0; i < 3; i++) 
			for (int j = 0; j < 3; j++) 
				sum = sum + matrix[i][j]; 

		// Print Sum 
		System.out.println(""Sum of elements is: "" + sum); 
	} 
}"
648,"Describe in one sentence what is wrong with the following Java code.
Input: public class Main {
    public static void main(String[] args) {
        int y;
        y = 10 + 5;
        y -= 30;
    }
}","The code does not do anything with the value of y, meaning that it is not being used.","### Instruction: 
 Describe in one sentence what is wrong with the following Java code. 
 ### Input: public class Main {
    public static void main(String[] args) {
        int y;
        y = 10 + 5;
        y -= 30;
    }
} 
 ### Response:
 The code does not do anything with the value of y, meaning that it is not being used."
683,Create a Java class that prints the Fibonacci sequence between 0 and 10.,"public class Fibonacci {

  public static void main(String[] args) {
    printFibonacci();
  }

  public static void printFibonacci() {
    int n1 = 0;
    int n2 = 1;
    int n3;

    System.out.print(n1 + "" "" + n2);

    for (int i = 0; i < 8; i++) {
      n3 = n1 + n2;
      System.out.print("" "" + n3);
      n1 = n2;
      n2 = n3;
    }
  }

}","### Instruction: 
 Create a Java class that prints the Fibonacci sequence between 0 and 10. 
 ### Response:
 public class Fibonacci {

  public static void main(String[] args) {
    printFibonacci();
  }

  public static void printFibonacci() {
    int n1 = 0;
    int n2 = 1;
    int n3;

    System.out.print(n1 + "" "" + n2);

    for (int i = 0; i < 8; i++) {
      n3 = n1 + n2;
      System.out.print("" "" + n3);
      n1 = n2;
      n2 = n3;
    }
  }

}"
696,Create an integer array using Java and sort it using the bubble sort algorithm.,"// Create an integer array
int[] array = {4, 2, 6, 1, 3};

// Sort the array using the bubbleSort function
bubbleSort(array);

// Write a function to implement the bubbleSort algorithm
public static int[] bubbleSort(int[] array) {
    int len = array.length;
    for (int i = 0; i < len; i++) {
        for (int j = 0; j < len; j++) {
            if (array[j] > array[j+1]) {
                int temp = array[j];
                array[j] = array[j+1];
                array[j+1] = temp;
            }
        }
    }
    return array;
}
// The sorted array is [1, 2, 3, 4, 6]","### Instruction: 
 Create an integer array using Java and sort it using the bubble sort algorithm. 
 ### Response:
 // Create an integer array
int[] array = {4, 2, 6, 1, 3};

// Sort the array using the bubbleSort function
bubbleSort(array);

// Write a function to implement the bubbleSort algorithm
public static int[] bubbleSort(int[] array) {
    int len = array.length;
    for (int i = 0; i < len; i++) {
        for (int j = 0; j < len; j++) {
            if (array[j] > array[j+1]) {
                int temp = array[j];
                array[j] = array[j+1];
                array[j+1] = temp;
            }
        }
    }
    return array;
}
// The sorted array is [1, 2, 3, 4, 6]"
719,Create a Java program that reads two numbers from the user and prints the sum.,"import java.util.Scanner;

public class Sum {

public static void main(String[] args) {
 
Scanner sc = new Scanner(System.in);
 
System.out.println(""Enter first number:"");
int num1 = sc.nextInt();
 
System.out.println(""Enter second number:"");
int num2 = sc.nextInt();
 
int sum = num1 + num2;
 
System.out.println(""The sum is: ""+sum);
 
 }
}","### Instruction: 
 Create a Java program that reads two numbers from the user and prints the sum. 
 ### Response:
 import java.util.Scanner;

public class Sum {

public static void main(String[] args) {
 
Scanner sc = new Scanner(System.in);
 
System.out.println(""Enter first number:"");
int num1 = sc.nextInt();
 
System.out.println(""Enter second number:"");
int num2 = sc.nextInt();
 
int sum = num1 + num2;
 
System.out.println(""The sum is: ""+sum);
 
 }
}"
725,"Write a for loop in Java to print all the numbers in a given list.
Input: int[] list = {21, 34, 54, 77, 92};","for (int i = 0; i < list.length; i++) {
 System.out.println(list[i]);
}","### Instruction: 
 Write a for loop in Java to print all the numbers in a given list. 
 ### Input: int[] list = {21, 34, 54, 77, 92}; 
 ### Response:
 for (int i = 0; i < list.length; i++) {
 System.out.println(list[i]);
}"
